datetime(utc),latitude,longitude,altitude(m),speed(m/s)
2026-03-15T09:30:00Z,19.076,72.8777,0.0,0
2026-03-15T09:30:03Z,19.0760462,72.8777103,2.5,0
2026-03-15T09:30:06Z,19.0760857,72.8777403,5.0,0
2026-03-15T09:30:09Z,19.0761122,72.8777871,7.5,0
2026-03-15T09:30:12Z,19.0761206,72.8778459,10.0,0
2026-03-15T09:30:15Z,19.0761073,72.8779108,12.5,9.92
2026-03-15T09:30:18Z,19.0760704,72.8779749,15.0,10.26
2026-03-15T09:30:21Z,19.0760102,72.8780307,17.5,10.58
2026-03-15T09:30:24Z,19.0759289,72.8780711,20.0,10.87
2026-03-15T09:30:27Z,19.075831,72.8780897,22.5,11.13
2026-03-15T09:30:30Z,19.0757224,72.8780813,25.0,11.37
2026-03-15T09:30:33Z,19.0756108,72.8780424,27.5,11.56
2026-03-15T09:30:36Z,19.0755047,72.8779716,30.0,11.73
2026-03-15T09:30:39Z,19.0754127,72.8778699,32.5,11.85
2026-03-15T09:30:42Z,19.0753436,72.8777405,35.0,11.94
2026-03-15T09:30:45Z,19.075305,72.877589,37.5,11.99
2026-03-15T09:30:48Z,19.0753033,72.877423,40.0,12.0
2026-03-15T09:30:51Z,19.0753427,72.8772519,42.5,11.97
2026-03-15T09:30:54Z,19.0754252,72.877086,45.0,11.9
2026-03-15T09:30:57Z,19.0755501,72.8769363,47.5,11.79
2026-03-15T09:31:00Z,19.0757137,72.8768135,50.0,11.64
2026-03-15T09:31:03Z,19.0759099,72.8767277,52.5,11.45
2026-03-15T09:31:06Z,19.07613,72.8766872,55.0,11.23
2026-03-15T09:31:09Z,19.076363,72.8766982,57.5,10.98
2026-03-15T09:31:12Z,19.0765966,72.8767644,60.0,10.7
2026-03-15T09:31:15Z,19.0768175,72.8768861,62.5,10.39
2026-03-15T09:31:18Z,19.0770122,72.8770609,65.0,10.06
2026-03-15T09:31:21Z,19.077168,72.8772826,67.5,9.71
2026-03-15T09:31:24Z,19.0772736,72.8775423,70.0,9.34
2026-03-15T09:31:27Z,19.0773198,72.8778282,72.5,8.96
2026-03-15T09:31:30Z,19.0773002,72.8781263,75.0,8.56
2026-03-15T09:31:33Z,19.0772119,72.8784212,77.5,8.17
