datetime(utc),latitude,longitude,altitude(m),speed(m/s)
2026-04-03T05:11:12.158555Z,40.689200,-74.044500,50.0,12.0
2026-04-03T05:11:13.158555Z,40.689331,-74.044369,50.5,12.0
2026-04-03T05:11:14.158555Z,40.689462,-74.044239,51.0,12.0
2026-04-03T05:11:15.158555Z,40.689592,-74.044109,51.6,12.0
2026-04-03T05:11:16.158555Z,40.689723,-74.043980,52.1,12.0
2026-04-03T05:11:17.158555Z,40.689853,-74.043853,52.6,11.9
2026-04-03T05:11:18.158555Z,40.689982,-74.043727,53.1,11.9
2026-04-03T05:11:19.158555Z,40.690111,-74.043604,53.6,11.9
2026-04-03T05:11:20.158555Z,40.690240,-74.043483,54.2,11.8
2026-04-03T05:11:21.158555Z,40.690367,-74.043365,54.7,11.8
2026-04-03T05:11:22.158555Z,40.690494,-74.043250,55.2,11.7
2026-04-03T05:11:23.158555Z,40.690620,-74.043138,55.7,11.7
2026-04-03T05:11:24.158555Z,40.690745,-74.043031,56.2,11.6
2026-04-03T05:11:25.158555Z,40.690869,-74.042927,56.7,11.6
2026-04-03T05:11:26.158555Z,40.690992,-74.042827,57.2,11.5
2026-04-03T05:11:27.158555Z,40.691113,-74.042732,57.7,11.4
2026-04-03T05:11:28.158555Z,40.691234,-74.042642,58.1,11.3
2026-04-03T05:11:29.158555Z,40.691353,-74.042557,58.6,11.3
2026-04-03T05:11:30.158555Z,40.691470,-74.042477,59.1,11.2
2026-04-03T05:11:31.158555Z,40.691586,-74.042403,59.5,11.1
2026-04-03T05:11:32.158555Z,40.691700,-74.042335,60.0,11.0
2026-04-03T05:11:33.158555Z,40.691812,-74.042272,60.4,10.9
2026-04-03T05:11:34.158555Z,40.691923,-74.042216,60.9,10.8
2026-04-03T05:11:35.158555Z,40.692032,-74.042166,61.3,10.7
2026-04-03T05:11:36.158555Z,40.692139,-74.042122,61.8,10.6
2026-04-03T05:11:37.158555Z,40.692244,-74.042085,62.2,10.5
2026-04-03T05:11:38.158555Z,40.692347,-74.042055,62.6,10.4
2026-04-03T05:11:39.158555Z,40.692447,-74.042031,63.0,10.3
2026-04-03T05:11:40.158555Z,40.692546,-74.042014,63.4,10.2
2026-04-03T05:11:41.158555Z,40.692642,-74.042003,63.8,10.1
2026-04-03T05:11:42.158555Z,40.692736,-74.042000,64.1,10.0
2026-04-03T05:11:43.158555Z,40.692827,-74.042003,64.5,9.9
2026-04-03T05:11:44.158555Z,40.692916,-74.042014,64.9,9.8
2026-04-03T05:11:45.158555Z,40.693002,-74.042031,65.2,9.7
2026-04-03T05:11:46.158555Z,40.693086,-74.042055,65.5,9.6
2026-04-03T05:11:47.158555Z,40.693167,-74.042085,65.9,9.5
2026-04-03T05:11:48.158555Z,40.693245,-74.042122,66.2,9.4
2026-04-03T05:11:49.158555Z,40.693321,-74.042166,66.5,9.3
2026-04-03T05:11:50.158555Z,40.693393,-74.042216,66.8,9.2
2026-04-03T05:11:51.158555Z,40.693463,-74.042272,67.1,9.1
2026-04-03T05:11:52.158555Z,40.693530,-74.042335,67.3,9.0
2026-04-03T05:11:53.158555Z,40.693594,-74.042403,67.6,8.9
2026-04-03T05:11:54.158555Z,40.693655,-74.042477,67.8,8.8
2026-04-03T05:11:55.158555Z,40.693713,-74.042557,68.1,8.7
2026-04-03T05:11:56.158555Z,40.693768,-74.042642,68.3,8.7
2026-04-03T05:11:57.158555Z,40.693819,-74.042732,68.5,8.6
2026-04-03T05:11:58.158555Z,40.693868,-74.042827,68.7,8.5
2026-04-03T05:11:59.158555Z,40.693913,-74.042927,68.9,8.4
2026-04-03T05:12:00.158555Z,40.693955,-74.043031,69.0,8.4
2026-04-03T05:12:01.158555Z,40.693994,-74.043138,69.2,8.3
2026-04-03T05:12:02.158555Z,40.694030,-74.043250,69.3,8.3
2026-04-03T05:12:03.158555Z,40.694062,-74.043365,69.4,8.2
2026-04-03T05:12:04.158555Z,40.694091,-74.043483,69.6,8.2
2026-04-03T05:12:05.158555Z,40.694116,-74.043604,69.7,8.1
2026-04-03T05:12:06.158555Z,40.694138,-74.043727,69.8,8.1
2026-04-03T05:12:07.158555Z,40.694157,-74.043853,69.8,8.1
2026-04-03T05:12:08.158555Z,40.694173,-74.043980,69.9,8.0
2026-04-03T05:12:09.158555Z,40.694185,-74.044109,69.9,8.0
2026-04-03T05:12:10.158555Z,40.694193,-74.044239,70.0,8.0
2026-04-03T05:12:11.158555Z,40.694198,-74.044369,70.0,8.0
2026-04-03T05:12:12.158555Z,40.694200,-74.044500,70.0,8.0
2026-04-03T05:12:13.158555Z,40.694198,-74.044631,70.0,8.0
2026-04-03T05:12:14.158555Z,40.694193,-74.044761,70.0,8.0
2026-04-03T05:12:15.158555Z,40.694185,-74.044891,69.9,8.0
2026-04-03T05:12:16.158555Z,40.694173,-74.045020,69.9,8.0
2026-04-03T05:12:17.158555Z,40.694157,-74.045147,69.8,8.1
2026-04-03T05:12:18.158555Z,40.694138,-74.045273,69.8,8.1
2026-04-03T05:12:19.158555Z,40.694116,-74.045396,69.7,8.1
2026-04-03T05:12:20.158555Z,40.694091,-74.045517,69.6,8.2
2026-04-03T05:12:21.158555Z,40.694062,-74.045635,69.4,8.2
2026-04-03T05:12:22.158555Z,40.694030,-74.045750,69.3,8.3
2026-04-03T05:12:23.158555Z,40.693994,-74.045862,69.2,8.3
2026-04-03T05:12:24.158555Z,40.693955,-74.045969,69.0,8.4
2026-04-03T05:12:25.158555Z,40.693913,-74.046073,68.9,8.4
2026-04-03T05:12:26.158555Z,40.693868,-74.046173,68.7,8.5
2026-04-03T05:12:27.158555Z,40.693819,-74.046268,68.5,8.6
2026-04-03T05:12:28.158555Z,40.693768,-74.046358,68.3,8.7
2026-04-03T05:12:29.158555Z,40.693713,-74.046443,68.1,8.7
2026-04-03T05:12:30.158555Z,40.693655,-74.046523,67.8,8.8
2026-04-03T05:12:31.158555Z,40.693594,-74.046597,67.6,8.9
2026-04-03T05:12:32.158555Z,40.693530,-74.046665,67.3,9.0
2026-04-03T05:12:33.158555Z,40.693463,-74.046728,67.1,9.1
2026-04-03T05:12:34.158555Z,40.693393,-74.046784,66.8,9.2
2026-04-03T05:12:35.158555Z,40.693321,-74.046834,66.5,9.3
2026-04-03T05:12:36.158555Z,40.693245,-74.046878,66.2,9.4
2026-04-03T05:12:37.158555Z,40.693167,-74.046915,65.9,9.5
2026-04-03T05:12:38.158555Z,40.693086,-74.046945,65.5,9.6
2026-04-03T05:12:39.158555Z,40.693002,-74.046969,65.2,9.7
2026-04-03T05:12:40.158555Z,40.692916,-74.046986,64.9,9.8
2026-04-03T05:12:41.158555Z,40.692827,-74.046997,64.5,9.9
2026-04-03T05:12:42.158555Z,40.692736,-74.047000,64.1,10.0
2026-04-03T05:12:43.158555Z,40.692642,-74.046997,63.8,10.1
2026-04-03T05:12:44.158555Z,40.692546,-74.046986,63.4,10.2
2026-04-03T05:12:45.158555Z,40.692447,-74.046969,63.0,10.3
2026-04-03T05:12:46.158555Z,40.692347,-74.046945,62.6,10.4
2026-04-03T05:12:47.158555Z,40.692244,-74.046915,62.2,10.5
2026-04-03T05:12:48.158555Z,40.692139,-74.046878,61.8,10.6
2026-04-03T05:12:49.158555Z,40.692032,-74.046834,61.3,10.7
2026-04-03T05:12:50.158555Z,40.691923,-74.046784,60.9,10.8
2026-04-03T05:12:51.158555Z,40.691812,-74.046728,60.4,10.9
2026-04-03T05:12:52.158555Z,40.691700,-74.046665,60.0,11.0
2026-04-03T05:12:53.158555Z,40.691586,-74.046597,59.5,11.1
2026-04-03T05:12:54.158555Z,40.691470,-74.046523,59.1,11.2
2026-04-03T05:12:55.158555Z,40.691353,-74.046443,58.6,11.3
2026-04-03T05:12:56.158555Z,40.691234,-74.046358,58.1,11.3
2026-04-03T05:12:57.158555Z,40.691113,-74.046268,57.7,11.4
2026-04-03T05:12:58.158555Z,40.690992,-74.046173,57.2,11.5
2026-04-03T05:12:59.158555Z,40.690869,-74.046073,56.7,11.6
2026-04-03T05:13:00.158555Z,40.690745,-74.045969,56.2,11.6
2026-04-03T05:13:01.158555Z,40.690620,-74.045862,55.7,11.7
2026-04-03T05:13:02.158555Z,40.690494,-74.045750,55.2,11.7
2026-04-03T05:13:03.158555Z,40.690367,-74.045635,54.7,11.8
2026-04-03T05:13:04.158555Z,40.690240,-74.045517,54.2,11.8
2026-04-03T05:13:05.158555Z,40.690111,-74.045396,53.6,11.9
2026-04-03T05:13:06.158555Z,40.689982,-74.045273,53.1,11.9
2026-04-03T05:13:07.158555Z,40.689853,-74.045147,52.6,11.9
2026-04-03T05:13:08.158555Z,40.689723,-74.045020,52.1,12.0
2026-04-03T05:13:09.158555Z,40.689592,-74.044891,51.6,12.0
2026-04-03T05:13:10.158555Z,40.689462,-74.044761,51.0,12.0
2026-04-03T05:13:11.158555Z,40.689331,-74.044631,50.5,12.0
2026-04-03T05:13:12.158555Z,40.689200,-74.044500,50.0,12.0
2026-04-03T05:13:13.158555Z,40.689069,-74.044369,49.5,12.0
2026-04-03T05:13:14.158555Z,40.688938,-74.044239,49.0,12.0
2026-04-03T05:13:15.158555Z,40.688808,-74.044109,48.4,12.0
2026-04-03T05:13:16.158555Z,40.688677,-74.043980,47.9,12.0
2026-04-03T05:13:17.158555Z,40.688547,-74.043853,47.4,11.9
2026-04-03T05:13:18.158555Z,40.688418,-74.043727,46.9,11.9
2026-04-03T05:13:19.158555Z,40.688289,-74.043604,46.4,11.9
2026-04-03T05:13:20.158555Z,40.688160,-74.043483,45.8,11.8
2026-04-03T05:13:21.158555Z,40.688033,-74.043365,45.3,11.8
2026-04-03T05:13:22.158555Z,40.687906,-74.043250,44.8,11.7
2026-04-03T05:13:23.158555Z,40.687780,-74.043138,44.3,11.7
2026-04-03T05:13:24.158555Z,40.687655,-74.043031,43.8,11.6
2026-04-03T05:13:25.158555Z,40.687531,-74.042927,43.3,11.6
2026-04-03T05:13:26.158555Z,40.687408,-74.042827,42.8,11.5
2026-04-03T05:13:27.158555Z,40.687287,-74.042732,42.3,11.4
2026-04-03T05:13:28.158555Z,40.687166,-74.042642,41.9,11.3
2026-04-03T05:13:29.158555Z,40.687047,-74.042557,41.4,11.3
2026-04-03T05:13:30.158555Z,40.686930,-74.042477,40.9,11.2
2026-04-03T05:13:31.158555Z,40.686814,-74.042403,40.5,11.1
2026-04-03T05:13:32.158555Z,40.686700,-74.042335,40.0,11.0
2026-04-03T05:13:33.158555Z,40.686588,-74.042272,39.6,10.9
2026-04-03T05:13:34.158555Z,40.686477,-74.042216,39.1,10.8
2026-04-03T05:13:35.158555Z,40.686368,-74.042166,38.7,10.7
2026-04-03T05:13:36.158555Z,40.686261,-74.042122,38.2,10.6
2026-04-03T05:13:37.158555Z,40.686156,-74.042085,37.8,10.5
2026-04-03T05:13:38.158555Z,40.686053,-74.042055,37.4,10.4
2026-04-03T05:13:39.158555Z,40.685953,-74.042031,37.0,10.3
2026-04-03T05:13:40.158555Z,40.685854,-74.042014,36.6,10.2
2026-04-03T05:13:41.158555Z,40.685758,-74.042003,36.2,10.1
2026-04-03T05:13:42.158555Z,40.685664,-74.042000,35.9,10.0
2026-04-03T05:13:43.158555Z,40.685573,-74.042003,35.5,9.9
2026-04-03T05:13:44.158555Z,40.685484,-74.042014,35.1,9.8
2026-04-03T05:13:45.158555Z,40.685398,-74.042031,34.8,9.7
2026-04-03T05:13:46.158555Z,40.685314,-74.042055,34.5,9.6
2026-04-03T05:13:47.158555Z,40.685233,-74.042085,34.1,9.5
2026-04-03T05:13:48.158555Z,40.685155,-74.042122,33.8,9.4
2026-04-03T05:13:49.158555Z,40.685079,-74.042166,33.5,9.3
2026-04-03T05:13:50.158555Z,40.685007,-74.042216,33.2,9.2
2026-04-03T05:13:51.158555Z,40.684937,-74.042272,32.9,9.1
2026-04-03T05:13:52.158555Z,40.684870,-74.042335,32.7,9.0
2026-04-03T05:13:53.158555Z,40.684806,-74.042403,32.4,8.9
2026-04-03T05:13:54.158555Z,40.684745,-74.042477,32.2,8.8
2026-04-03T05:13:55.158555Z,40.684687,-74.042557,31.9,8.7
2026-04-03T05:13:56.158555Z,40.684632,-74.042642,31.7,8.7
2026-04-03T05:13:57.158555Z,40.684581,-74.042732,31.5,8.6
2026-04-03T05:13:58.158555Z,40.684532,-74.042827,31.3,8.5
2026-04-03T05:13:59.158555Z,40.684487,-74.042927,31.1,8.4
2026-04-03T05:14:00.158555Z,40.684445,-74.043031,31.0,8.4
2026-04-03T05:14:01.158555Z,40.684406,-74.043138,30.8,8.3
2026-04-03T05:14:02.158555Z,40.684370,-74.043250,30.7,8.3
2026-04-03T05:14:03.158555Z,40.684338,-74.043365,30.6,8.2
2026-04-03T05:14:04.158555Z,40.684309,-74.043483,30.4,8.2
2026-04-03T05:14:05.158555Z,40.684284,-74.043604,30.3,8.1
2026-04-03T05:14:06.158555Z,40.684262,-74.043727,30.2,8.1
2026-04-03T05:14:07.158555Z,40.684243,-74.043853,30.2,8.1
