datetime(utc),latitude,longitude,altitude(m),speed(m/s)
2026-04-04T05:06:36.401598Z,40.689200,-74.044500,0.0,3.3
2026-04-04T05:06:37.401598Z,40.689250,-74.044425,3.3,3.3
2026-04-04T05:06:38.401598Z,40.689299,-74.044351,6.7,3.3
2026-04-04T05:06:39.401598Z,40.689348,-74.044278,10.0,3.3
2026-04-04T05:06:40.401598Z,40.689395,-74.044208,13.3,3.3
2026-04-04T05:06:41.401598Z,40.689440,-74.044140,16.7,3.3
2026-04-04T05:06:42.401598Z,40.689482,-74.044077,20.0,3.3
2026-04-04T05:06:43.401598Z,40.689522,-74.044017,23.3,3.3
2026-04-04T05:06:44.401598Z,40.689559,-74.043962,26.7,3.3
2026-04-04T05:06:45.401598Z,40.689592,-74.043913,30.0,3.3
2026-04-04T05:06:46.401598Z,40.689621,-74.043869,33.3,3.3
2026-04-04T05:06:47.401598Z,40.689646,-74.043832,36.7,3.3
2026-04-04T05:06:48.401598Z,40.689666,-74.043801,40.0,3.3
2026-04-04T05:06:49.401598Z,40.689682,-74.043777,43.3,3.3
2026-04-04T05:06:50.401598Z,40.689693,-74.043761,46.7,3.3
2026-04-04T05:06:51.401598Z,40.689699,-74.043752,50.0,3.3
2026-04-04T05:06:52.401598Z,40.689700,-74.043750,53.3,3.3
2026-04-04T05:06:53.401598Z,40.689696,-74.043756,56.7,3.3
2026-04-04T05:06:54.401598Z,40.689687,-74.043770,60.0,3.3
2026-04-04T05:06:55.401598Z,40.689673,-74.043790,63.3,3.3
2026-04-04T05:06:56.401598Z,40.689655,-74.043818,66.7,3.3
2026-04-04T05:06:57.401598Z,40.689632,-74.043853,70.0,3.3
2026-04-04T05:06:58.401598Z,40.689604,-74.043894,73.3,3.3
2026-04-04T05:06:59.401598Z,40.689573,-74.043941,76.7,3.3
2026-04-04T05:07:00.401598Z,40.689538,-74.043993,80.0,3.3
2026-04-04T05:07:01.401598Z,40.689499,-74.044051,83.3,3.3
2026-04-04T05:07:02.401598Z,40.689458,-74.044113,86.7,3.3
2026-04-04T05:07:03.401598Z,40.689414,-74.044179,90.0,3.3
2026-04-04T05:07:04.401598Z,40.689367,-74.044249,93.3,3.3
2026-04-04T05:07:05.401598Z,40.689320,-74.044321,96.7,3.3
2026-04-04T05:07:06.401598Z,40.689271,-74.044394,98.6,6.9
2026-04-04T05:07:07.401598Z,40.689221,-74.044469,99.6,7.0
2026-04-04T05:07:08.401598Z,40.689171,-74.044544,100.6,7.0
2026-04-04T05:07:09.401598Z,40.689121,-74.044618,101.6,6.9
2026-04-04T05:07:10.401598Z,40.689072,-74.044692,102.5,6.7
2026-04-04T05:07:11.401598Z,40.689025,-74.044763,103.3,6.5
2026-04-04T05:07:12.401598Z,40.688979,-74.044832,104.0,6.2
2026-04-04T05:07:13.401598Z,40.688935,-74.044897,104.5,5.9
2026-04-04T05:07:14.401598Z,40.688894,-74.044959,104.8,5.5
2026-04-04T05:07:15.401598Z,40.688856,-74.045016,105.0,5.1
2026-04-04T05:07:16.401598Z,40.688822,-74.045068,104.9,4.7
2026-04-04T05:07:17.401598Z,40.688791,-74.045114,104.7,4.3
2026-04-04T05:07:18.401598Z,40.688764,-74.045154,104.3,4.0
2026-04-04T05:07:19.401598Z,40.688742,-74.045187,103.7,3.6
2026-04-04T05:07:20.401598Z,40.688724,-74.045214,102.9,3.4
2026-04-04T05:07:21.401598Z,40.688711,-74.045233,102.1,3.2
2026-04-04T05:07:22.401598Z,40.688703,-74.045245,101.1,3.1
2026-04-04T05:07:23.401598Z,40.688700,-74.045250,100.1,3.0
2026-04-04T05:07:24.401598Z,40.688702,-74.045247,99.1,3.0
2026-04-04T05:07:25.401598Z,40.688709,-74.045237,98.2,3.1
2026-04-04T05:07:26.401598Z,40.688721,-74.045219,97.3,3.3
2026-04-04T05:07:27.401598Z,40.688737,-74.045194,96.5,3.6
2026-04-04T05:07:28.401598Z,40.688758,-74.045163,95.9,3.9
2026-04-04T05:07:29.401598Z,40.688784,-74.045124,95.4,4.2
2026-04-04T05:07:30.401598Z,40.688814,-74.045080,95.1,4.6
2026-04-04T05:07:31.401598Z,40.688847,-74.045029,95.0,5.0
2026-04-04T05:07:32.401598Z,40.688884,-74.044973,95.1,5.4
2026-04-04T05:07:33.401598Z,40.688925,-74.044913,95.4,5.8
2026-04-04T05:07:34.401598Z,40.688968,-74.044848,95.9,6.1
2026-04-04T05:07:35.401598Z,40.689013,-74.044780,96.5,6.4
2026-04-04T05:07:36.401598Z,40.689060,-74.044710,97.3,6.7
2026-04-04T05:07:37.401598Z,40.689109,-74.044637,98.2,6.9
2026-04-04T05:07:38.401598Z,40.689158,-74.044562,99.2,7.0
2026-04-04T05:07:39.401598Z,40.689208,-74.044487,100.2,7.0
2026-04-04T05:07:40.401598Z,40.689258,-74.044413,101.2,6.9
2026-04-04T05:07:41.401598Z,40.689308,-74.044339,102.1,6.8
