datetime(utc),latitude,longitude,altitude(m),speed(m/s)
2026-04-03T05:06:36.403597Z,48.858400,2.294500,0.0,3.3
2026-04-03T05:06:37.403597Z,48.858450,2.294575,3.3,3.3
2026-04-03T05:06:38.403597Z,48.858499,2.294649,6.7,3.3
2026-04-03T05:06:39.403597Z,48.858548,2.294722,10.0,3.3
2026-04-03T05:06:40.403597Z,48.858595,2.294792,13.3,3.3
2026-04-03T05:06:41.403597Z,48.858640,2.294860,16.7,3.3
2026-04-03T05:06:42.403597Z,48.858682,2.294923,20.0,3.3
2026-04-03T05:06:43.403597Z,48.858722,2.294983,23.3,3.3
2026-04-03T05:06:44.403597Z,48.858759,2.295038,26.7,3.3
2026-04-03T05:06:45.403597Z,48.858792,2.295087,30.0,3.3
2026-04-03T05:06:46.403597Z,48.858821,2.295131,33.3,3.3
2026-04-03T05:06:47.403597Z,48.858846,2.295168,36.7,3.3
2026-04-03T05:06:48.403597Z,48.858866,2.295199,40.0,3.3
2026-04-03T05:06:49.403597Z,48.858882,2.295223,43.3,3.3
2026-04-03T05:06:50.403597Z,48.858893,2.295239,46.7,3.3
2026-04-03T05:06:51.403597Z,48.858899,2.295248,50.0,3.3
2026-04-03T05:06:52.403597Z,48.858900,2.295250,53.3,3.3
2026-04-03T05:06:53.403597Z,48.858896,2.295244,56.7,3.3
2026-04-03T05:06:54.403597Z,48.858887,2.295230,60.0,3.3
2026-04-03T05:06:55.403597Z,48.858873,2.295210,63.3,3.3
2026-04-03T05:06:56.403597Z,48.858855,2.295182,66.7,3.3
2026-04-03T05:06:57.403597Z,48.858832,2.295147,70.0,3.3
2026-04-03T05:06:58.403597Z,48.858804,2.295106,73.3,3.3
2026-04-03T05:06:59.403597Z,48.858773,2.295059,76.7,3.3
2026-04-03T05:07:00.403597Z,48.858738,2.295007,80.0,3.3
2026-04-03T05:07:01.403597Z,48.858699,2.294949,83.3,3.3
2026-04-03T05:07:02.403597Z,48.858658,2.294887,86.7,3.3
2026-04-03T05:07:03.403597Z,48.858614,2.294821,90.0,3.3
2026-04-03T05:07:04.403597Z,48.858567,2.294751,93.3,3.3
2026-04-03T05:07:05.403597Z,48.858520,2.294679,96.7,3.3
2026-04-03T05:07:06.403597Z,48.858471,2.294606,98.6,6.9
2026-04-03T05:07:07.403597Z,48.858421,2.294531,99.6,7.0
2026-04-03T05:07:08.403597Z,48.858371,2.294456,100.6,7.0
2026-04-03T05:07:09.403597Z,48.858321,2.294382,101.6,6.9
2026-04-03T05:07:10.403597Z,48.858272,2.294308,102.5,6.7
2026-04-03T05:07:11.403597Z,48.858225,2.294237,103.3,6.5
2026-04-03T05:07:12.403597Z,48.858179,2.294168,104.0,6.2
2026-04-03T05:07:13.403597Z,48.858135,2.294103,104.5,5.9
2026-04-03T05:07:14.403597Z,48.858094,2.294041,104.8,5.5
2026-04-03T05:07:15.403597Z,48.858056,2.293984,105.0,5.1
2026-04-03T05:07:16.403597Z,48.858022,2.293932,104.9,4.7
2026-04-03T05:07:17.403597Z,48.857991,2.293886,104.7,4.3
2026-04-03T05:07:18.403597Z,48.857964,2.293846,104.3,4.0
2026-04-03T05:07:19.403597Z,48.857942,2.293813,103.7,3.6
2026-04-03T05:07:20.403597Z,48.857924,2.293786,102.9,3.4
2026-04-03T05:07:21.403597Z,48.857911,2.293767,102.1,3.2
2026-04-03T05:07:22.403597Z,48.857903,2.293755,101.1,3.1
2026-04-03T05:07:23.403597Z,48.857900,2.293750,100.1,3.0
2026-04-03T05:07:24.403597Z,48.857902,2.293753,99.1,3.0
2026-04-03T05:07:25.403597Z,48.857909,2.293763,98.2,3.1
2026-04-03T05:07:26.403597Z,48.857921,2.293781,97.3,3.3
2026-04-03T05:07:27.403597Z,48.857937,2.293806,96.5,3.6
2026-04-03T05:07:28.403597Z,48.857958,2.293837,95.9,3.9
2026-04-03T05:07:29.403597Z,48.857984,2.293876,95.4,4.2
2026-04-03T05:07:30.403597Z,48.858014,2.293920,95.1,4.6
2026-04-03T05:07:31.403597Z,48.858047,2.293971,95.0,5.0
2026-04-03T05:07:32.403597Z,48.858084,2.294027,95.1,5.4
2026-04-03T05:07:33.403597Z,48.858125,2.294087,95.4,5.8
2026-04-03T05:07:34.403597Z,48.858168,2.294152,95.9,6.1
2026-04-03T05:07:35.403597Z,48.858213,2.294220,96.5,6.4
2026-04-03T05:07:36.403597Z,48.858260,2.294290,97.3,6.7
2026-04-03T05:07:37.403597Z,48.858309,2.294363,98.2,6.9
2026-04-03T05:07:38.403597Z,48.858358,2.294438,99.2,7.0
2026-04-03T05:07:39.403597Z,48.858408,2.294513,100.2,7.0
2026-04-03T05:07:40.403597Z,48.858458,2.294587,101.2,6.9
2026-04-03T05:07:41.403597Z,48.858508,2.294661,102.1,6.8
2026-04-03T05:07:42.403597Z,48.858556,2.294734,103.0,6.6
2026-04-03T05:07:43.403597Z,48.858602,2.294804,103.7,6.3
2026-04-03T05:07:44.403597Z,48.858647,2.294871,104.3,6.0
2026-04-03T05:07:45.403597Z,48.858689,2.294934,104.7,5.7
2026-04-03T05:07:46.403597Z,48.858728,2.294993,105.0,5.3
2026-04-03T05:07:47.403597Z,48.858764,2.295047,105.0,4.9
2026-04-03T05:07:48.403597Z,48.858797,2.295095,104.8,4.5
2026-04-03T05:07:49.403597Z,48.858825,2.295138,104.5,4.1
2026-04-03T05:07:50.403597Z,48.858849,2.295174,103.9,3.8
2026-04-03T05:07:51.403597Z,48.858869,2.295203,103.3,3.5
2026-04-03T05:07:52.403597Z,48.858884,2.295226,102.4,3.3
2026-04-03T05:07:53.403597Z,48.858894,2.295241,101.5,3.1
2026-04-03T05:07:54.403597Z,48.858899,2.295249,100.5,3.0
2026-04-03T05:07:55.403597Z,48.858899,2.295249,99.5,3.0
2026-04-03T05:07:56.403597Z,48.858895,2.295242,98.6,3.1
2026-04-03T05:07:57.403597Z,48.858885,2.295227,97.6,3.2
2026-04-03T05:07:58.403597Z,48.858870,2.295206,96.8,3.5
2026-04-03T05:07:59.403597Z,48.858851,2.295177,96.1,3.7
2026-04-03T05:08:00.403597Z,48.858827,2.295141,95.6,4.1
2026-04-03T05:08:01.403597Z,48.858799,2.295099,95.2,4.4
2026-04-03T05:08:02.403597Z,48.858767,2.295051,95.0,4.8
2026-04-03T05:08:03.403597Z,48.858731,2.294997,95.0,5.2
2026-04-03T05:08:04.403597Z,48.858692,2.294939,95.3,5.6
2026-04-03T05:08:05.403597Z,48.858651,2.294876,95.7,6.0
2026-04-03T05:08:06.403597Z,48.858606,2.294809,96.2,6.3
2026-04-03T05:08:07.403597Z,48.858560,2.294739,97.0,6.6
2026-04-03T05:08:08.403597Z,48.858511,2.294667,97.8,6.8
2026-04-03T05:08:09.403597Z,48.858462,2.294593,98.8,6.9
2026-04-03T05:08:10.403597Z,48.858412,2.294519,99.8,7.0
2026-04-03T05:08:11.403597Z,48.858362,2.294444,100.7,7.0
2026-04-03T05:08:12.403597Z,48.858313,2.294369,101.7,6.9
2026-04-03T05:08:13.403597Z,48.858264,2.294296,102.6,6.7
2026-04-03T05:08:14.403597Z,48.858217,2.294225,103.4,6.5
2026-04-03T05:08:15.403597Z,48.858171,2.294157,104.1,6.2
2026-04-03T05:08:16.403597Z,48.858128,2.294092,104.6,5.8
2026-04-03T05:08:17.403597Z,48.858087,2.294031,104.9,5.4
2026-04-03T05:08:18.403597Z,48.858050,2.293975,105.0,5.0
2026-04-03T05:08:19.403597Z,48.858016,2.293924,104.9,4.6
2026-04-03T05:08:20.403597Z,48.857986,2.293879,104.6,4.3
2026-04-03T05:08:21.403597Z,48.857960,2.293840,104.2,3.9
2026-04-03T05:08:22.403597Z,48.857939,2.293808,103.6,3.6
2026-04-03T05:08:23.403597Z,48.857922,2.293783,102.8,3.3
2026-04-03T05:08:24.403597Z,48.857910,2.293764,101.9,3.2
2026-04-03T05:08:25.403597Z,48.857902,2.293753,100.9,3.0
2026-04-03T05:08:26.403597Z,48.857900,2.293750,100.0,3.0
2026-04-03T05:08:27.403597Z,48.857903,2.293754,99.0,3.0
2026-04-03T05:08:28.403597Z,48.857910,2.293766,98.0,3.2
2026-04-03T05:08:29.403597Z,48.857923,2.293784,97.1,3.4
2026-04-03T05:08:30.403597Z,48.857940,2.293811,96.4,3.6
2026-04-03T05:08:31.403597Z,48.857962,2.293843,95.8,3.9
2026-04-03T05:08:32.403597Z,48.857989,2.293883,95.3,4.3
2026-04-03T05:08:33.403597Z,48.858019,2.293929,95.1,4.7
2026-04-03T05:08:34.403597Z,48.858053,2.293980,95.0,5.1
2026-04-03T05:08:35.403597Z,48.858091,2.294036,95.1,5.5
2026-04-03T05:08:36.403597Z,48.858132,2.294098,95.5,5.8
2026-04-03T05:08:37.403597Z,48.858175,2.294163,96.0,6.2
2026-04-03T05:08:38.403597Z,48.858221,2.294231,96.7,6.5
2026-04-03T05:08:39.403597Z,48.858268,2.294303,97.5,6.7
2026-04-03T05:08:40.403597Z,48.858317,2.294376,98.4,6.9
2026-04-03T05:08:41.403597Z,48.858367,2.294450,99.3,7.0
2026-04-03T05:08:42.403597Z,48.858417,2.294525,100.3,7.0
2026-04-03T05:08:43.403597Z,48.858467,2.294600,101.3,6.9
2026-04-03T05:08:44.403597Z,48.858516,2.294674,102.3,6.8
2026-04-03T05:08:45.403597Z,48.858564,2.294746,103.1,6.6
2026-04-03T05:08:46.403597Z,48.858610,2.294815,103.8,6.3
2026-04-03T05:08:47.403597Z,48.858654,2.294881,104.4,6.0
2026-04-03T05:08:48.403597Z,48.858696,2.294944,104.8,5.6
2026-04-03T05:08:49.403597Z,48.858735,2.295002,105.0,5.2
2026-04-03T05:08:50.403597Z,48.858770,2.295055,105.0,4.8
2026-04-03T05:08:51.403597Z,48.858802,2.295103,104.8,4.4
2026-04-03T05:08:52.403597Z,48.858830,2.295144,104.4,4.0
2026-04-03T05:08:53.403597Z,48.858853,2.295179,103.8,3.7
2026-04-03T05:08:54.403597Z,48.858872,2.295208,103.1,3.4
2026-04-03T05:08:55.403597Z,48.858886,2.295229,102.3,3.2
