datetime(utc),latitude,longitude,altitude(m),speed(m/s)
2026-04-02T05:11:12.163157Z,48.858900,2.294500,20.0,6.0
2026-04-02T05:11:13.163157Z,48.858914,2.294552,21.7,6.0
2026-04-02T05:11:14.163157Z,48.858923,2.294606,23.3,6.0
2026-04-02T05:11:15.163157Z,48.858925,2.294663,25.0,6.0
2026-04-02T05:11:16.163157Z,48.858922,2.294721,26.7,6.0
2026-04-02T05:11:17.163157Z,48.858912,2.294780,28.3,6.0
2026-04-02T05:11:18.163157Z,48.858895,2.294839,30.0,6.0
2026-04-02T05:11:19.163157Z,48.858872,2.294897,31.7,6.0
2026-04-02T05:11:20.163157Z,48.858841,2.294954,33.3,6.0
2026-04-02T05:11:21.163157Z,48.858804,2.295009,35.0,6.0
2026-04-02T05:11:22.163157Z,48.858760,2.295061,36.7,6.0
2026-04-02T05:11:23.163157Z,48.858710,2.295109,38.3,6.0
2026-04-02T05:11:24.163157Z,48.858654,2.295152,40.0,6.0
2026-04-02T05:11:25.163157Z,48.858592,2.295191,41.7,6.0
2026-04-02T05:11:26.163157Z,48.858525,2.295223,43.3,6.0
2026-04-02T05:11:27.163157Z,48.858453,2.295248,45.0,6.0
2026-04-02T05:11:28.163157Z,48.858378,2.295266,46.7,6.0
2026-04-02T05:11:29.163157Z,48.858299,2.295277,48.3,6.0
2026-04-02T05:11:30.163157Z,48.858218,2.295279,50.0,6.0
2026-04-02T05:11:31.163157Z,48.858136,2.295273,51.7,6.0
2026-04-02T05:11:32.163157Z,48.858053,2.295258,53.3,6.0
2026-04-02T05:11:33.163157Z,48.857971,2.295234,55.0,6.0
2026-04-02T05:11:34.163157Z,48.857890,2.295201,56.7,6.0
2026-04-02T05:11:35.163157Z,48.857811,2.295159,58.3,6.0
2026-04-02T05:11:36.163157Z,48.857736,2.295108,60.0,6.0
2026-04-02T05:11:37.163157Z,48.857666,2.295049,61.7,6.0
2026-04-02T05:11:38.163157Z,48.857600,2.294981,63.3,6.0
2026-04-02T05:11:39.163157Z,48.857541,2.294906,65.0,6.0
2026-04-02T05:11:40.163157Z,48.857489,2.294824,66.7,6.0
2026-04-02T05:11:41.163157Z,48.857445,2.294735,68.3,6.0
2026-04-02T05:11:42.163157Z,48.857410,2.294641,70.0,6.0
2026-04-02T05:11:43.163157Z,48.857384,2.294542,71.7,6.0
2026-04-02T05:11:44.163157Z,48.857368,2.294440,73.3,6.0
2026-04-02T05:11:45.163157Z,48.857363,2.294334,75.0,6.0
2026-04-02T05:11:46.163157Z,48.857369,2.294227,76.7,6.0
2026-04-02T05:11:47.163157Z,48.857386,2.294120,78.3,6.0
2026-04-02T05:11:48.163157Z,48.857414,2.294013,80.0,6.0
2026-04-02T05:11:49.163157Z,48.857453,2.293908,81.7,6.0
