datetime(utc),latitude,longitude,altitude(m),speed(m/s)
2026-04-01T05:11:12.167978Z,-33.856800,151.215300,80.0,8.0
2026-04-01T05:11:13.167978Z,-33.856800,151.215430,80.0,8.0
2026-04-01T05:11:14.167978Z,-33.856800,151.215560,80.0,8.0
2026-04-01T05:11:15.167978Z,-33.856800,151.215690,80.0,8.0
2026-04-01T05:11:16.167978Z,-33.856800,151.215820,80.0,8.0
2026-04-01T05:11:17.167978Z,-33.856800,151.215950,80.0,8.0
2026-04-01T05:11:18.167978Z,-33.856800,151.216080,80.0,8.0
2026-04-01T05:11:19.167978Z,-33.856800,151.216210,80.0,8.0
2026-04-01T05:11:20.167978Z,-33.856800,151.216340,80.0,8.0
2026-04-01T05:11:21.167978Z,-33.856800,151.216470,80.0,8.0
2026-04-01T05:11:22.167978Z,-33.856800,151.216600,80.0,8.0
2026-04-01T05:11:23.167978Z,-33.856800,151.216730,80.0,8.0
2026-04-01T05:11:24.167978Z,-33.856800,151.216860,80.0,8.0
2026-04-01T05:11:25.167978Z,-33.856800,151.216990,80.0,8.0
2026-04-01T05:11:26.167978Z,-33.856800,151.217120,80.0,8.0
2026-04-01T05:11:27.167978Z,-33.856800,151.217250,80.0,8.0
2026-04-01T05:11:28.167978Z,-33.856800,151.217380,80.0,8.0
2026-04-01T05:11:29.167978Z,-33.856800,151.217510,80.0,8.0
2026-04-01T05:11:30.167978Z,-33.856800,151.217640,80.0,8.0
2026-04-01T05:11:31.167978Z,-33.856800,151.217770,80.0,8.0
2026-04-01T05:11:32.167978Z,-33.856800,151.217900,80.0,8.0
2026-04-01T05:11:33.167978Z,-33.856800,151.218030,80.0,8.0
2026-04-01T05:11:34.167978Z,-33.856800,151.218160,80.0,8.0
2026-04-01T05:11:35.167978Z,-33.856800,151.218290,80.0,8.0
2026-04-01T05:11:36.167978Z,-33.856800,151.218420,80.0,8.0
2026-04-01T05:11:37.167978Z,-33.856800,151.218550,80.0,8.0
2026-04-01T05:11:38.167978Z,-33.856800,151.218680,80.0,8.0
2026-04-01T05:11:39.167978Z,-33.856800,151.218810,80.0,8.0
2026-04-01T05:11:40.167978Z,-33.856800,151.218940,80.0,8.0
2026-04-01T05:11:41.167978Z,-33.856800,151.219070,80.0,8.0
2026-04-01T05:11:42.167978Z,-33.856800,151.219200,80.0,8.0
2026-04-01T05:11:43.167978Z,-33.856800,151.219330,80.0,8.0
2026-04-01T05:11:44.167978Z,-33.856800,151.219460,80.0,8.0
2026-04-01T05:11:45.167978Z,-33.856800,151.219590,80.0,8.0
2026-04-01T05:11:46.167978Z,-33.856800,151.219720,80.0,8.0
