datetime(utc),latitude,longitude,altitude(m),speed(m/s)
2026-04-02T05:06:36.405106Z,-33.856800,151.215300,0.0,3.3
2026-04-02T05:06:37.405106Z,-33.856750,151.215375,3.3,3.3
2026-04-02T05:06:38.405106Z,-33.856701,151.215449,6.7,3.3
2026-04-02T05:06:39.405106Z,-33.856652,151.215522,10.0,3.3
2026-04-02T05:06:40.405106Z,-33.856605,151.215592,13.3,3.3
2026-04-02T05:06:41.405106Z,-33.856560,151.215660,16.7,3.3
2026-04-02T05:06:42.405106Z,-33.856518,151.215723,20.0,3.3
2026-04-02T05:06:43.405106Z,-33.856478,151.215783,23.3,3.3
2026-04-02T05:06:44.405106Z,-33.856441,151.215838,26.7,3.3
2026-04-02T05:06:45.405106Z,-33.856408,151.215887,30.0,3.3
2026-04-02T05:06:46.405106Z,-33.856379,151.215931,33.3,3.3
2026-04-02T05:06:47.405106Z,-33.856354,151.215968,36.7,3.3
2026-04-02T05:06:48.405106Z,-33.856334,151.215999,40.0,3.3
2026-04-02T05:06:49.405106Z,-33.856318,151.216023,43.3,3.3
2026-04-02T05:06:50.405106Z,-33.856307,151.216039,46.7,3.3
2026-04-02T05:06:51.405106Z,-33.856301,151.216048,50.0,3.3
2026-04-02T05:06:52.405106Z,-33.856300,151.216050,53.3,3.3
2026-04-02T05:06:53.405106Z,-33.856304,151.216044,56.7,3.3
2026-04-02T05:06:54.405106Z,-33.856313,151.216030,60.0,3.3
2026-04-02T05:06:55.405106Z,-33.856327,151.216010,63.3,3.3
2026-04-02T05:06:56.405106Z,-33.856345,151.215982,66.7,3.3
2026-04-02T05:06:57.405106Z,-33.856368,151.215947,70.0,3.3
2026-04-02T05:06:58.405106Z,-33.856396,151.215906,73.3,3.3
2026-04-02T05:06:59.405106Z,-33.856427,151.215859,76.7,3.3
2026-04-02T05:07:00.405106Z,-33.856462,151.215807,80.0,3.3
2026-04-02T05:07:01.405106Z,-33.856501,151.215749,83.3,3.3
2026-04-02T05:07:02.405106Z,-33.856542,151.215687,86.7,3.3
2026-04-02T05:07:03.405106Z,-33.856586,151.215621,90.0,3.3
2026-04-02T05:07:04.405106Z,-33.856633,151.215551,93.3,3.3
2026-04-02T05:07:05.405106Z,-33.856680,151.215479,96.7,3.3
2026-04-02T05:07:06.405106Z,-33.856729,151.215406,98.6,6.9
2026-04-02T05:07:07.405106Z,-33.856779,151.215331,99.6,7.0
2026-04-02T05:07:08.405106Z,-33.856829,151.215256,100.6,7.0
2026-04-02T05:07:09.405106Z,-33.856879,151.215182,101.6,6.9
2026-04-02T05:07:10.405106Z,-33.856928,151.215108,102.5,6.7
2026-04-02T05:07:11.405106Z,-33.856975,151.215037,103.3,6.5
2026-04-02T05:07:12.405106Z,-33.857021,151.214968,104.0,6.2
2026-04-02T05:07:13.405106Z,-33.857065,151.214903,104.5,5.9
2026-04-02T05:07:14.405106Z,-33.857106,151.214841,104.8,5.5
2026-04-02T05:07:15.405106Z,-33.857144,151.214784,105.0,5.1
2026-04-02T05:07:16.405106Z,-33.857178,151.214732,104.9,4.7
2026-04-02T05:07:17.405106Z,-33.857209,151.214686,104.7,4.3
2026-04-02T05:07:18.405106Z,-33.857236,151.214646,104.3,4.0
2026-04-02T05:07:19.405106Z,-33.857258,151.214613,103.7,3.6
2026-04-02T05:07:20.405106Z,-33.857276,151.214586,102.9,3.4
2026-04-02T05:07:21.405106Z,-33.857289,151.214567,102.1,3.2
2026-04-02T05:07:22.405106Z,-33.857297,151.214555,101.1,3.1
2026-04-02T05:07:23.405106Z,-33.857300,151.214550,100.1,3.0
2026-04-02T05:07:24.405106Z,-33.857298,151.214553,99.1,3.0
2026-04-02T05:07:25.405106Z,-33.857291,151.214563,98.2,3.1
2026-04-02T05:07:26.405106Z,-33.857279,151.214581,97.3,3.3
2026-04-02T05:07:27.405106Z,-33.857263,151.214606,96.5,3.6
2026-04-02T05:07:28.405106Z,-33.857242,151.214637,95.9,3.9
2026-04-02T05:07:29.405106Z,-33.857216,151.214676,95.4,4.2
2026-04-02T05:07:30.405106Z,-33.857186,151.214720,95.1,4.6
2026-04-02T05:07:31.405106Z,-33.857153,151.214771,95.0,5.0
2026-04-02T05:07:32.405106Z,-33.857116,151.214827,95.1,5.4
2026-04-02T05:07:33.405106Z,-33.857075,151.214887,95.4,5.8
2026-04-02T05:07:34.405106Z,-33.857032,151.214952,95.9,6.1
2026-04-02T05:07:35.405106Z,-33.856987,151.215020,96.5,6.4
2026-04-02T05:07:36.405106Z,-33.856940,151.215090,97.3,6.7
2026-04-02T05:07:37.405106Z,-33.856891,151.215163,98.2,6.9
2026-04-02T05:07:38.405106Z,-33.856842,151.215238,99.2,7.0
2026-04-02T05:07:39.405106Z,-33.856792,151.215313,100.2,7.0
2026-04-02T05:07:40.405106Z,-33.856742,151.215387,101.2,6.9
2026-04-02T05:07:41.405106Z,-33.856692,151.215461,102.1,6.8
2026-04-02T05:07:42.405106Z,-33.856644,151.215534,103.0,6.6
2026-04-02T05:07:43.405106Z,-33.856598,151.215604,103.7,6.3
2026-04-02T05:07:44.405106Z,-33.856553,151.215671,104.3,6.0
2026-04-02T05:07:45.405106Z,-33.856511,151.215734,104.7,5.7
2026-04-02T05:07:46.405106Z,-33.856472,151.215793,105.0,5.3
2026-04-02T05:07:47.405106Z,-33.856436,151.215847,105.0,4.9
2026-04-02T05:07:48.405106Z,-33.856403,151.215895,104.8,4.5
2026-04-02T05:07:49.405106Z,-33.856375,151.215938,104.5,4.1
2026-04-02T05:07:50.405106Z,-33.856351,151.215974,103.9,3.8
2026-04-02T05:07:51.405106Z,-33.856331,151.216003,103.3,3.5
2026-04-02T05:07:52.405106Z,-33.856316,151.216026,102.4,3.3
2026-04-02T05:07:53.405106Z,-33.856306,151.216041,101.5,3.1
2026-04-02T05:07:54.405106Z,-33.856301,151.216049,100.5,3.0
2026-04-02T05:07:55.405106Z,-33.856301,151.216049,99.5,3.0
2026-04-02T05:07:56.405106Z,-33.856305,151.216042,98.6,3.1
2026-04-02T05:07:57.405106Z,-33.856315,151.216027,97.6,3.2
2026-04-02T05:07:58.405106Z,-33.856330,151.216006,96.8,3.5
2026-04-02T05:07:59.405106Z,-33.856349,151.215977,96.1,3.7
2026-04-02T05:08:00.405106Z,-33.856373,151.215941,95.6,4.1
2026-04-02T05:08:01.405106Z,-33.856401,151.215899,95.2,4.4
2026-04-02T05:08:02.405106Z,-33.856433,151.215851,95.0,4.8
2026-04-02T05:08:03.405106Z,-33.856469,151.215797,95.0,5.2
2026-04-02T05:08:04.405106Z,-33.856508,151.215739,95.3,5.6
2026-04-02T05:08:05.405106Z,-33.856549,151.215676,95.7,6.0
2026-04-02T05:08:06.405106Z,-33.856594,151.215609,96.2,6.3
2026-04-02T05:08:07.405106Z,-33.856640,151.215539,97.0,6.6
