datetime(utc),latitude,longitude,altitude(m),speed(m/s)
2026-04-01T05:06:36.407117Z,41.890200,12.492200,0.0,3.3
2026-04-01T05:06:37.407117Z,41.890250,12.492275,3.3,3.3
2026-04-01T05:06:38.407117Z,41.890299,12.492349,6.7,3.3
2026-04-01T05:06:39.407117Z,41.890348,12.492422,10.0,3.3
2026-04-01T05:06:40.407117Z,41.890395,12.492492,13.3,3.3
2026-04-01T05:06:41.407117Z,41.890440,12.492560,16.7,3.3
2026-04-01T05:06:42.407117Z,41.890482,12.492623,20.0,3.3
2026-04-01T05:06:43.407117Z,41.890522,12.492683,23.3,3.3
2026-04-01T05:06:44.407117Z,41.890559,12.492738,26.7,3.3
2026-04-01T05:06:45.407117Z,41.890592,12.492787,30.0,3.3
2026-04-01T05:06:46.407117Z,41.890621,12.492831,33.3,3.3
2026-04-01T05:06:47.407117Z,41.890646,12.492868,36.7,3.3
2026-04-01T05:06:48.407117Z,41.890666,12.492899,40.0,3.3
2026-04-01T05:06:49.407117Z,41.890682,12.492923,43.3,3.3
2026-04-01T05:06:50.407117Z,41.890693,12.492939,46.7,3.3
2026-04-01T05:06:51.407117Z,41.890699,12.492948,50.0,3.3
2026-04-01T05:06:52.407117Z,41.890700,12.492950,53.3,3.3
2026-04-01T05:06:53.407117Z,41.890696,12.492944,56.7,3.3
2026-04-01T05:06:54.407117Z,41.890687,12.492930,60.0,3.3
2026-04-01T05:06:55.407117Z,41.890673,12.492910,63.3,3.3
2026-04-01T05:06:56.407117Z,41.890655,12.492882,66.7,3.3
2026-04-01T05:06:57.407117Z,41.890632,12.492847,70.0,3.3
2026-04-01T05:06:58.407117Z,41.890604,12.492806,73.3,3.3
2026-04-01T05:06:59.407117Z,41.890573,12.492759,76.7,3.3
2026-04-01T05:07:00.407117Z,41.890538,12.492707,80.0,3.3
2026-04-01T05:07:01.407117Z,41.890499,12.492649,83.3,3.3
2026-04-01T05:07:02.407117Z,41.890458,12.492587,86.7,3.3
2026-04-01T05:07:03.407117Z,41.890414,12.492521,90.0,3.3
2026-04-01T05:07:04.407117Z,41.890367,12.492451,93.3,3.3
2026-04-01T05:07:05.407117Z,41.890320,12.492379,96.7,3.3
2026-04-01T05:07:06.407117Z,41.890271,12.492306,98.6,6.9
2026-04-01T05:07:07.407117Z,41.890221,12.492231,99.6,7.0
2026-04-01T05:07:08.407117Z,41.890171,12.492156,100.6,7.0
2026-04-01T05:07:09.407117Z,41.890121,12.492082,101.6,6.9
2026-04-01T05:07:10.407117Z,41.890072,12.492008,102.5,6.7
2026-04-01T05:07:11.407117Z,41.890025,12.491937,103.3,6.5
2026-04-01T05:07:12.407117Z,41.889979,12.491868,104.0,6.2
2026-04-01T05:07:13.407117Z,41.889935,12.491803,104.5,5.9
2026-04-01T05:07:14.407117Z,41.889894,12.491741,104.8,5.5
2026-04-01T05:07:15.407117Z,41.889856,12.491684,105.0,5.1
2026-04-01T05:07:16.407117Z,41.889822,12.491632,104.9,4.7
2026-04-01T05:07:17.407117Z,41.889791,12.491586,104.7,4.3
2026-04-01T05:07:18.407117Z,41.889764,12.491546,104.3,4.0
2026-04-01T05:07:19.407117Z,41.889742,12.491513,103.7,3.6
2026-04-01T05:07:20.407117Z,41.889724,12.491486,102.9,3.4
2026-04-01T05:07:21.407117Z,41.889711,12.491467,102.1,3.2
2026-04-01T05:07:22.407117Z,41.889703,12.491455,101.1,3.1
2026-04-01T05:07:23.407117Z,41.889700,12.491450,100.1,3.0
2026-04-01T05:07:24.407117Z,41.889702,12.491453,99.1,3.0
