datetime(utc),latitude,longitude,altitude(m),speed(m/s)
2026-03-31T05:11:12.172860Z,41.890200,12.492200,120.0,15.0
2026-03-31T05:11:13.172860Z,41.890789,12.492789,120.0,15.0
2026-03-31T05:11:14.172860Z,41.891379,12.493379,120.0,15.0
2026-03-31T05:11:15.172860Z,41.891968,12.493968,120.0,15.0
2026-03-31T05:11:16.172860Z,41.892557,12.494557,120.0,15.0
2026-03-31T05:11:17.172860Z,41.893146,12.495146,120.0,15.0
2026-03-31T05:11:18.172860Z,41.893736,12.495736,120.0,15.0
2026-03-31T05:11:19.172860Z,41.894325,12.496325,120.0,15.0
2026-03-31T05:11:20.172860Z,41.894914,12.496914,120.0,15.0
2026-03-31T05:11:21.172860Z,41.895503,12.497503,120.0,15.0
2026-03-31T05:11:22.172860Z,41.896093,12.498093,120.0,15.0
2026-03-31T05:11:23.172860Z,41.896682,12.498682,120.0,15.0
2026-03-31T05:11:24.172860Z,41.897271,12.499271,120.0,15.0
2026-03-31T05:11:25.172860Z,41.897860,12.499860,120.0,15.0
2026-03-31T05:11:26.172860Z,41.898450,12.500450,120.0,15.0
2026-03-31T05:11:27.172860Z,41.899039,12.501039,120.0,15.0
2026-03-31T05:11:28.172860Z,41.899628,12.501628,120.0,15.0
2026-03-31T05:11:29.172860Z,41.900217,12.502217,120.0,15.0
2026-03-31T05:11:30.172860Z,41.900807,12.502807,120.0,15.0
2026-03-31T05:11:31.172860Z,41.901396,12.503396,120.0,15.0
2026-03-31T05:11:32.172860Z,41.901985,12.503985,120.0,15.0
2026-03-31T05:11:33.172860Z,41.902574,12.504574,120.0,15.0
2026-03-31T05:11:34.172860Z,41.903164,12.505164,120.0,15.0
2026-03-31T05:11:35.172860Z,41.903753,12.505753,120.0,15.0
2026-03-31T05:11:36.172860Z,41.904342,12.506342,120.0,15.0
2026-03-31T05:11:37.172860Z,41.904931,12.506931,120.0,15.0
2026-03-31T05:11:38.172860Z,41.905521,12.507521,120.0,15.0
2026-03-31T05:11:39.172860Z,41.906110,12.508110,120.0,15.0
2026-03-31T05:11:40.172860Z,41.906699,12.508699,120.0,15.0
2026-03-31T05:11:41.172860Z,41.907288,12.509288,120.0,15.0
2026-03-31T05:11:42.172860Z,41.907878,12.509878,120.0,15.0
2026-03-31T05:11:43.172860Z,41.908467,12.510467,120.0,15.0
2026-03-31T05:11:44.172860Z,41.909056,12.511056,120.0,15.0
2026-03-31T05:11:45.172860Z,41.909645,12.511645,120.0,15.0
2026-03-31T05:11:46.172860Z,41.910235,12.512235,120.0,15.0
2026-03-31T05:11:47.172860Z,41.910824,12.512824,120.0,15.0
2026-03-31T05:11:48.172860Z,41.911413,12.513413,120.0,15.0
2026-03-31T05:11:49.172860Z,41.912002,12.514002,120.0,15.0
2026-03-31T05:11:50.172860Z,41.912592,12.514592,120.0,15.0
2026-03-31T05:11:51.172860Z,41.913181,12.515181,120.0,15.0
2026-03-31T05:11:52.172860Z,41.913770,12.515770,120.0,15.0
2026-03-31T05:11:53.172860Z,41.914359,12.516359,120.0,15.0
2026-03-31T05:11:54.172860Z,41.914949,12.516949,120.0,15.0
2026-03-31T05:11:55.172860Z,41.915538,12.517538,120.0,15.0
2026-03-31T05:11:56.172860Z,41.916127,12.518127,120.0,15.0
2026-03-31T05:11:57.172860Z,41.916717,12.518717,120.0,15.0
2026-03-31T05:11:58.172860Z,41.917306,12.519306,120.0,15.0
2026-03-31T05:11:59.172860Z,41.917895,12.519895,120.0,15.0
2026-03-31T05:12:00.172860Z,41.918484,12.520484,120.0,15.0
2026-03-31T05:12:01.172860Z,41.919074,12.521074,120.0,15.0
2026-03-31T05:12:02.172860Z,41.919663,12.521663,120.0,15.0
2026-03-31T05:12:03.172860Z,41.920252,12.522252,120.0,15.0
2026-03-31T05:12:04.172860Z,41.920841,12.522841,120.0,15.0
2026-03-31T05:12:05.172860Z,41.921431,12.523431,120.0,15.0
2026-03-31T05:12:06.172860Z,41.922020,12.524020,120.0,15.0
2026-03-31T05:12:07.172860Z,41.922609,12.524609,120.0,15.0
2026-03-31T05:12:08.172860Z,41.923198,12.525198,120.0,15.0
2026-03-31T05:12:09.172860Z,41.923788,12.525788,120.0,15.0
2026-03-31T05:12:10.172860Z,41.924377,12.526377,120.0,15.0
2026-03-31T05:12:11.172860Z,41.924966,12.526966,120.0,15.0
2026-03-31T05:12:12.172860Z,41.925555,12.527555,120.0,15.0
2026-03-31T05:12:13.172860Z,41.924966,12.526966,120.0,15.0
2026-03-31T05:12:14.172860Z,41.924377,12.526377,120.0,15.0
2026-03-31T05:12:15.172860Z,41.923788,12.525788,120.0,15.0
2026-03-31T05:12:16.172860Z,41.923198,12.525198,120.0,15.0
2026-03-31T05:12:17.172860Z,41.922609,12.524609,120.0,15.0
2026-03-31T05:12:18.172860Z,41.922020,12.524020,120.0,15.0
