datetime(utc),latitude,longitude,altitude(m),speed(m/s)
2026-03-31T05:06:36.410629Z,37.819900,-122.478300,0.0,3.3
2026-03-31T05:06:37.410629Z,37.819950,-122.478225,3.3,3.3
2026-03-31T05:06:38.410629Z,37.819999,-122.478151,6.7,3.3
2026-03-31T05:06:39.410629Z,37.820048,-122.478078,10.0,3.3
2026-03-31T05:06:40.410629Z,37.820095,-122.478008,13.3,3.3
2026-03-31T05:06:41.410629Z,37.820140,-122.477940,16.7,3.3
2026-03-31T05:06:42.410629Z,37.820182,-122.477877,20.0,3.3
2026-03-31T05:06:43.410629Z,37.820222,-122.477817,23.3,3.3
2026-03-31T05:06:44.410629Z,37.820259,-122.477762,26.7,3.3
2026-03-31T05:06:45.410629Z,37.820292,-122.477713,30.0,3.3
2026-03-31T05:06:46.410629Z,37.820321,-122.477669,33.3,3.3
2026-03-31T05:06:47.410629Z,37.820346,-122.477632,36.7,3.3
2026-03-31T05:06:48.410629Z,37.820366,-122.477601,40.0,3.3
2026-03-31T05:06:49.410629Z,37.820382,-122.477577,43.3,3.3
2026-03-31T05:06:50.410629Z,37.820393,-122.477561,46.7,3.3
2026-03-31T05:06:51.410629Z,37.820399,-122.477552,50.0,3.3
2026-03-31T05:06:52.410629Z,37.820400,-122.477550,53.3,3.3
2026-03-31T05:06:53.410629Z,37.820396,-122.477556,56.7,3.3
2026-03-31T05:06:54.410629Z,37.820387,-122.477570,60.0,3.3
2026-03-31T05:06:55.410629Z,37.820373,-122.477590,63.3,3.3
2026-03-31T05:06:56.410629Z,37.820355,-122.477618,66.7,3.3
2026-03-31T05:06:57.410629Z,37.820332,-122.477653,70.0,3.3
2026-03-31T05:06:58.410629Z,37.820304,-122.477694,73.3,3.3
2026-03-31T05:06:59.410629Z,37.820273,-122.477741,76.7,3.3
2026-03-31T05:07:00.410629Z,37.820238,-122.477793,80.0,3.3
2026-03-31T05:07:01.410629Z,37.820199,-122.477851,83.3,3.3
2026-03-31T05:07:02.410629Z,37.820158,-122.477913,86.7,3.3
2026-03-31T05:07:03.410629Z,37.820114,-122.477979,90.0,3.3
2026-03-31T05:07:04.410629Z,37.820067,-122.478049,93.3,3.3
2026-03-31T05:07:05.410629Z,37.820020,-122.478121,96.7,3.3
2026-03-31T05:07:06.410629Z,37.819971,-122.478194,98.6,6.9
2026-03-31T05:07:07.410629Z,37.819921,-122.478269,99.6,7.0
2026-03-31T05:07:08.410629Z,37.819871,-122.478344,100.6,7.0
2026-03-31T05:07:09.410629Z,37.819821,-122.478418,101.6,6.9
2026-03-31T05:07:10.410629Z,37.819772,-122.478492,102.5,6.7
2026-03-31T05:07:11.410629Z,37.819725,-122.478563,103.3,6.5
2026-03-31T05:07:12.410629Z,37.819679,-122.478632,104.0,6.2
2026-03-31T05:07:13.410629Z,37.819635,-122.478697,104.5,5.9
2026-03-31T05:07:14.410629Z,37.819594,-122.478759,104.8,5.5
2026-03-31T05:07:15.410629Z,37.819556,-122.478816,105.0,5.1
2026-03-31T05:07:16.410629Z,37.819522,-122.478868,104.9,4.7
2026-03-31T05:07:17.410629Z,37.819491,-122.478914,104.7,4.3
2026-03-31T05:07:18.410629Z,37.819464,-122.478954,104.3,4.0
2026-03-31T05:07:19.410629Z,37.819442,-122.478987,103.7,3.6
2026-03-31T05:07:20.410629Z,37.819424,-122.479014,102.9,3.4
2026-03-31T05:07:21.410629Z,37.819411,-122.479033,102.1,3.2
2026-03-31T05:07:22.410629Z,37.819403,-122.479045,101.1,3.1
2026-03-31T05:07:23.410629Z,37.819400,-122.479050,100.1,3.0
2026-03-31T05:07:24.410629Z,37.819402,-122.479047,99.1,3.0
2026-03-31T05:07:25.410629Z,37.819409,-122.479037,98.2,3.1
2026-03-31T05:07:26.410629Z,37.819421,-122.479019,97.3,3.3
2026-03-31T05:07:27.410629Z,37.819437,-122.478994,96.5,3.6
2026-03-31T05:07:28.410629Z,37.819458,-122.478963,95.9,3.9
2026-03-31T05:07:29.410629Z,37.819484,-122.478924,95.4,4.2
2026-03-31T05:07:30.410629Z,37.819514,-122.478880,95.1,4.6
2026-03-31T05:07:31.410629Z,37.819547,-122.478829,95.0,5.0
2026-03-31T05:07:32.410629Z,37.819584,-122.478773,95.1,5.4
2026-03-31T05:07:33.410629Z,37.819625,-122.478713,95.4,5.8
2026-03-31T05:07:34.410629Z,37.819668,-122.478648,95.9,6.1
2026-03-31T05:07:35.410629Z,37.819713,-122.478580,96.5,6.4
2026-03-31T05:07:36.410629Z,37.819760,-122.478510,97.3,6.7
2026-03-31T05:07:37.410629Z,37.819809,-122.478437,98.2,6.9
2026-03-31T05:07:38.410629Z,37.819858,-122.478362,99.2,7.0
2026-03-31T05:07:39.410629Z,37.819908,-122.478287,100.2,7.0
2026-03-31T05:07:40.410629Z,37.819958,-122.478213,101.2,6.9
2026-03-31T05:07:41.410629Z,37.820008,-122.478139,102.1,6.8
2026-03-31T05:07:42.410629Z,37.820056,-122.478066,103.0,6.6
2026-03-31T05:07:43.410629Z,37.820102,-122.477996,103.7,6.3
2026-03-31T05:07:44.410629Z,37.820147,-122.477929,104.3,6.0
2026-03-31T05:07:45.410629Z,37.820189,-122.477866,104.7,5.7
2026-03-31T05:07:46.410629Z,37.820228,-122.477807,105.0,5.3
2026-03-31T05:07:47.410629Z,37.820264,-122.477753,105.0,4.9
2026-03-31T05:07:48.410629Z,37.820297,-122.477705,104.8,4.5
2026-03-31T05:07:49.410629Z,37.820325,-122.477662,104.5,4.1
