datetime(utc),latitude,longitude,altitude(m),speed(m/s)
2026-03-30T05:11:12.176007Z,37.819670,-122.478398,49.1,4.4
2026-03-30T05:11:13.176007Z,37.819491,-122.478530,49.8,5.2
2026-03-30T05:11:14.176007Z,37.819236,-122.478588,49.5,4.3
2026-03-30T05:11:15.176007Z,37.819022,-122.478576,49.5,3.3
2026-03-30T05:11:16.176007Z,37.818865,-122.478517,50.1,3.4
2026-03-30T05:11:17.176007Z,37.818728,-122.478415,50.5,4.1
2026-03-30T05:11:18.176007Z,37.818641,-122.478232,51.7,4.4
2026-03-30T05:11:19.176007Z,37.818580,-122.478018,50.3,5.4
2026-03-30T05:11:20.176007Z,37.818549,-122.477752,48.7,4.6
2026-03-30T05:11:21.176007Z,37.818447,-122.477548,49.1,5.2
2026-03-30T05:11:22.176007Z,37.818281,-122.477349,49.2,6.1
2026-03-30T05:11:23.176007Z,37.818116,-122.477092,49.5,6.8
2026-03-30T05:11:24.176007Z,37.817900,-122.476831,50.9,6.9
2026-03-30T05:11:25.176007Z,37.817629,-122.476614,49.1,6.4
2026-03-30T05:11:26.176007Z,37.817428,-122.476367,47.4,5.9
2026-03-30T05:11:27.176007Z,37.817345,-122.476086,46.5,6.1
2026-03-30T05:11:28.176007Z,37.817299,-122.475784,46.0,5.5
2026-03-30T05:11:29.176007Z,37.817322,-122.475507,47.7,5.8
2026-03-30T05:11:30.176007Z,37.817314,-122.475216,46.4,6.3
2026-03-30T05:11:31.176007Z,37.817410,-122.474916,45.9,7.3
2026-03-30T05:11:32.176007Z,37.817472,-122.474557,46.2,7.6
2026-03-30T05:11:33.176007Z,37.817406,-122.474181,47.3,7.1
2026-03-30T05:11:34.176007Z,37.817509,-122.473841,46.5,6.6
2026-03-30T05:11:35.176007Z,37.817692,-122.473564,48.3,7.4
2026-03-30T05:11:36.176007Z,37.817949,-122.473299,48.9,7.2
2026-03-30T05:11:37.176007Z,37.818074,-122.472962,48.8,6.7
2026-03-30T05:11:38.176007Z,37.818266,-122.472686,49.0,6.2
2026-03-30T05:11:39.176007Z,37.818422,-122.472416,50.6,6.0
2026-03-30T05:11:40.176007Z,37.818639,-122.472207,52.6,6.1
2026-03-30T05:11:41.176007Z,37.818923,-122.472101,50.8,5.3
2026-03-30T05:11:42.176007Z,37.819156,-122.471978,52.0,5.1
2026-03-30T05:11:43.176007Z,37.819412,-122.471966,51.5,6.1
2026-03-30T05:11:44.176007Z,37.819716,-122.471942,53.4,6.8
2026-03-30T05:11:45.176007Z,37.820029,-122.472078,54.2,7.2
2026-03-30T05:11:46.176007Z,37.820364,-122.472210,53.3,7.5
2026-03-30T05:11:47.176007Z,37.820635,-122.472468,53.1,7.4
2026-03-30T05:11:48.176007Z,37.820987,-122.472580,54.6,6.9
2026-03-30T05:11:49.176007Z,37.821316,-122.472685,53.3,7.7
2026-03-30T05:11:50.176007Z,37.821702,-122.472661,52.5,8.0
2026-03-30T05:11:51.176007Z,37.822097,-122.472592,51.1,8.5
2026-03-30T05:11:52.176007Z,37.822514,-122.472503,52.2,8.6
2026-03-30T05:11:53.176007Z,37.822927,-122.472625,51.5,7.6
2026-03-30T05:11:54.176007Z,37.823305,-122.472572,53.0,8.3
2026-03-30T05:11:55.176007Z,37.823720,-122.472593,51.2,9.1
2026-03-30T05:11:56.176007Z,37.824138,-122.472419,49.6,9.0
2026-03-30T05:11:57.176007Z,37.824589,-122.472435,50.6,9.6
2026-03-30T05:11:58.176007Z,37.825028,-122.472625,50.5,9.7
2026-03-30T05:11:59.176007Z,37.825415,-122.472914,52.0,9.5
2026-03-30T05:12:00.176007Z,37.825699,-122.473296,52.2,10.0
2026-03-30T05:12:01.176007Z,37.825866,-122.473765,51.4,11.0
2026-03-30T05:12:02.176007Z,37.826124,-122.474248,51.2,11.0
2026-03-30T05:12:03.176007Z,37.826186,-122.474795,50.1,10.7
2026-03-30T05:12:04.176007Z,37.826292,-122.475317,49.0,10.1
2026-03-30T05:12:05.176007Z,37.826178,-122.475810,49.5,9.6
2026-03-30T05:12:06.176007Z,37.826262,-122.476281,50.9,8.7
2026-03-30T05:12:07.176007Z,37.826225,-122.476715,51.6,8.1
2026-03-30T05:12:08.176007Z,37.826047,-122.477081,53.4,8.3
2026-03-30T05:12:09.176007Z,37.825856,-122.477448,54.5,8.9
2026-03-30T05:12:10.176007Z,37.825540,-122.477761,52.9,8.8
2026-03-30T05:12:11.176007Z,37.825206,-122.478045,52.8,9.2
2026-03-30T05:12:12.176007Z,37.824912,-122.478400,54.7,8.4
2026-03-30T05:12:13.176007Z,37.824613,-122.478696,54.1,9.1
2026-03-30T05:12:14.176007Z,37.824219,-122.478926,52.8,9.0
2026-03-30T05:12:15.176007Z,37.823813,-122.479123,51.9,8.5
2026-03-30T05:12:16.176007Z,37.823539,-122.479451,51.7,9.3
2026-03-30T05:12:17.176007Z,37.823260,-122.479820,49.9,10.3
2026-03-30T05:12:18.176007Z,37.823104,-122.480309,51.8,11.1
2026-03-30T05:12:19.176007Z,37.823126,-122.480864,50.4,11.1
2026-03-30T05:12:20.176007Z,37.822990,-122.481401,50.1,10.2
2026-03-30T05:12:21.176007Z,37.822806,-122.481876,52.0,9.7
2026-03-30T05:12:22.176007Z,37.822765,-122.482361,51.8,9.6
2026-03-30T05:12:23.176007Z,37.822940,-122.482807,53.8,9.7
2026-03-30T05:12:24.176007Z,37.823210,-122.483208,52.4,9.3
2026-03-30T05:12:25.176007Z,37.823614,-122.483435,52.7,9.4
2026-03-30T05:12:26.176007Z,37.824066,-122.483557,51.0,9.5
2026-03-30T05:12:27.176007Z,37.824527,-122.483679,52.4,8.8
2026-03-30T05:12:28.176007Z,37.824960,-122.483591,50.7,8.2
2026-03-30T05:12:29.176007Z,37.825353,-122.483471,51.4,7.7
2026-03-30T05:12:30.176007Z,37.825736,-122.483504,53.0,7.2
2026-03-30T05:12:31.176007Z,37.826095,-122.483500,53.4,7.0
2026-03-30T05:12:32.176007Z,37.826444,-122.483467,53.5,7.9
2026-03-30T05:12:33.176007Z,37.826831,-122.483546,54.4,7.4
2026-03-30T05:12:34.176007Z,37.827182,-122.483657,55.1,7.0
2026-03-30T05:12:35.176007Z,37.827489,-122.483821,56.1,6.1
2026-03-30T05:12:36.176007Z,37.827753,-122.483976,58.1,7.1
2026-03-30T05:12:37.176007Z,37.827957,-122.484266,56.9,6.6
2026-03-30T05:12:38.176007Z,37.828244,-122.484432,58.4,7.4
2026-03-30T05:12:39.176007Z,37.828537,-122.484658,57.1,8.1
2026-03-30T05:12:40.176007Z,37.828899,-122.484834,57.5,9.0
2026-03-30T05:12:41.176007Z,37.829331,-122.484966,55.6,9.7
2026-03-30T05:12:42.176007Z,37.829755,-122.485197,56.2,10.5
2026-03-30T05:12:43.176007Z,37.830098,-122.485598,54.7,9.8
2026-03-30T05:12:44.176007Z,37.830434,-122.485952,53.8,10.0
2026-03-30T05:12:45.176007Z,37.830847,-122.486231,52.6,10.2
2026-03-30T05:12:46.176007Z,37.831193,-122.486608,52.5,11.0
2026-03-30T05:12:47.176007Z,37.831682,-122.486865,50.9,10.9
2026-03-30T05:12:48.176007Z,37.832096,-122.487219,48.9,11.4
2026-03-30T05:12:49.176007Z,37.832578,-122.487527,48.0,11.9
2026-03-30T05:12:50.176007Z,37.833095,-122.487822,47.7,10.9
2026-03-30T05:12:51.176007Z,37.833417,-122.488265,49.2,11.7
2026-03-30T05:12:52.176007Z,37.833783,-122.488724,50.5,11.9
2026-03-30T05:12:53.176007Z,37.833972,-122.489289,49.1,11.5
2026-03-30T05:12:54.176007Z,37.834352,-122.489722,50.2,12.2
2026-03-30T05:12:55.176007Z,37.834903,-122.489989,49.1,11.7
2026-03-30T05:12:56.176007Z,37.835292,-122.490429,50.2,12.5
2026-03-30T05:12:57.176007Z,37.835660,-122.490936,50.7,11.8
2026-03-30T05:12:58.176007Z,37.836175,-122.491225,52.1,12.8
2026-03-30T05:12:59.176007Z,37.836801,-122.491353,53.7,11.8
2026-03-30T05:13:00.176007Z,37.837393,-122.491332,53.0,12.7
2026-03-30T05:13:01.176007Z,37.837991,-122.491122,54.5,13.3
2026-03-30T05:13:02.176007Z,37.838653,-122.491053,55.6,12.5
2026-03-30T05:13:03.176007Z,37.839210,-122.490765,57.0,12.0
2026-03-30T05:13:04.176007Z,37.839630,-122.490339,56.9,11.6
2026-03-30T05:13:05.176007Z,37.839898,-122.489826,55.8,10.6
2026-03-30T05:13:06.176007Z,37.840276,-122.489451,55.1,11.4
2026-03-30T05:13:07.176007Z,37.840456,-122.488913,54.2,11.6
2026-03-30T05:13:08.176007Z,37.840694,-122.488382,56.1,11.7
2026-03-30T05:13:09.176007Z,37.840685,-122.487796,54.6,12.7
2026-03-30T05:13:10.176007Z,37.840874,-122.487192,56.5,12.2
2026-03-30T05:13:11.176007Z,37.841265,-122.486725,56.2,12.6
2026-03-30T05:13:12.176007Z,37.841754,-122.486324,56.6,12.7
2026-03-30T05:13:13.176007Z,37.842286,-122.485980,56.9,12.2
2026-03-30T05:13:14.176007Z,37.842718,-122.485551,54.9,13.0
2026-03-30T05:13:15.176007Z,37.843162,-122.485075,55.8,13.5
2026-03-30T05:13:16.176007Z,37.843532,-122.484509,55.3,12.7
2026-03-30T05:13:17.176007Z,37.843787,-122.483931,54.6,12.3
2026-03-30T05:13:18.176007Z,37.843828,-122.483318,55.5,11.9
2026-03-30T05:13:19.176007Z,37.843980,-122.482744,55.1,11.7
2026-03-30T05:13:20.176007Z,37.844241,-122.482221,53.6,11.5
2026-03-30T05:13:21.176007Z,37.844253,-122.481645,54.3,12.3
2026-03-30T05:13:22.176007Z,37.844196,-122.481031,53.5,12.4
2026-03-30T05:13:23.176007Z,37.844441,-122.480461,52.7,12.3
2026-03-30T05:13:24.176007Z,37.844638,-122.479879,53.3,12.2
2026-03-30T05:13:25.176007Z,37.844867,-122.479312,52.1,12.2
2026-03-30T05:13:26.176007Z,37.844857,-122.478704,53.3,11.5
2026-03-30T05:13:27.176007Z,37.845080,-122.478174,53.4,11.8
2026-03-30T05:13:28.176007Z,37.845394,-122.477677,54.7,12.3
2026-03-30T05:13:29.176007Z,37.845627,-122.477109,53.6,11.7
2026-03-30T05:13:30.176007Z,37.846071,-122.476731,52.5,11.6
2026-03-30T05:13:31.176007Z,37.846358,-122.476226,50.8,11.4
2026-03-30T05:13:32.176007Z,37.846573,-122.475696,49.6,11.8
2026-03-30T05:13:33.176007Z,37.846799,-122.475149,48.6,12.2
2026-03-30T05:13:34.176007Z,37.847270,-122.474764,49.6,12.7
2026-03-30T05:13:35.176007Z,37.847878,-122.474582,49.3,12.0
2026-03-30T05:13:36.176007Z,37.848319,-122.474172,49.4,11.1
2026-03-30T05:13:37.176007Z,37.848808,-122.473906,50.8,11.1
2026-03-30T05:13:38.176007Z,37.849194,-122.473509,51.4,12.0
2026-03-30T05:13:39.176007Z,37.849570,-122.473040,53.2,12.8
2026-03-30T05:13:40.176007Z,37.849912,-122.472498,54.1,12.8
2026-03-30T05:13:41.176007Z,37.850060,-122.471874,54.3,13.6
2026-03-30T05:13:42.176007Z,37.850052,-122.471193,54.2,13.1
2026-03-30T05:13:43.176007Z,37.850209,-122.470555,54.7,13.7
2026-03-30T05:13:44.176007Z,37.850358,-122.469888,55.2,13.2
2026-03-30T05:13:45.176007Z,37.850754,-122.469359,54.4,12.8
2026-03-30T05:13:46.176007Z,37.851222,-122.468925,54.6,12.0
2026-03-30T05:13:47.176007Z,37.851757,-122.468648,55.3,12.5
2026-03-30T05:13:48.176007Z,37.852379,-122.468621,55.0,12.5
2026-03-30T05:13:49.176007Z,37.853005,-122.468646,53.8,12.4
2026-03-30T05:13:50.176007Z,37.853583,-122.468426,54.1,12.8
2026-03-30T05:13:51.176007Z,37.854063,-122.468005,55.2,12.5
